type,date,team,n_simulations
brasileirao_title,2025-05-31,Fortaleza EC,3
brasileirao_title,2025-05-31,Bahia,9
brasileirao_title,2025-05-31,Mirassol,1
brasileirao_title,2025-05-31,Internacional,2
brasileirao_title,2025-05-31,Gremio,1
brasileirao_title,2025-05-31,Sao Paulo,1
brasileirao_relegation,2025-05-31,Bahia,38
brasileirao_relegation,2025-05-31,Juventude,637
brasileirao_relegation,2025-05-31,Ceara,114
brasileirao_relegation,2025-05-31,Sport Recife,799
brasileirao_relegation,2025-05-31,Santos,473
brasileirao_relegation,2025-05-31,Internacional,71
brasileirao_relegation,2025-05-31,Gremio,231
brasileirao_relegation,2025-05-31,Vitoria,303
brasileirao_relegation,2025-05-31,Vasco DA Gama,320
brasileirao_relegation,2025-05-31,Mirassol,108
brasileirao_relegation,2025-05-31,Corinthians,42
brasileirao_relegation,2025-05-31,Fortaleza EC,105
brasileirao_relegation,2025-05-31,Atletico-MG,108
brasileirao_relegation,2025-05-31,Sao Paulo,216
brasileirao_relegation,2025-05-31,Fluminense,20
brasileirao_relegation,2025-05-31,Botafogo,10
brasileirao_relegation,2025-05-31,RB Bragantino,4
brasileirao_relegation,2025-05-31,Cruzeiro,1
brasileirao_title,2025-06-01,Cruzeiro,106
brasileirao_title,2025-06-01,Flamengo,495
brasileirao_title,2025-06-01,Palmeiras,127
brasileirao_title,2025-06-01,RB Bragantino,53
brasileirao_title,2025-06-01,Botafogo,72
brasileirao_title,2025-06-01,Fluminense,37
brasileirao_title,2025-06-01,Sao Paulo,1
brasileirao_title,2025-06-01,Mirassol,4
brasileirao_title,2025-06-01,Atletico-MG,2
brasileirao_title,2025-06-01,Bahia,3
brasileirao_relegation,2025-06-01,Sao Paulo,177
brasileirao_relegation,2025-06-01,Sport Recife,809
brasileirao_relegation,2025-06-01,Ceara,145
brasileirao_relegation,2025-06-01,Vasco DA Gama,322
brasileirao_relegation,2025-06-01,Juventude,765
brasileirao_relegation,2025-06-01,Vitoria,294
brasileirao_relegation,2025-06-01,Santos,504
brasileirao_relegation,2025-06-01,Gremio,97
brasileirao_relegation,2025-06-01,Corinthians,58
brasileirao_relegation,2025-06-01,Fortaleza EC,169
brasileirao_relegation,2025-06-01,Internacional,113
brasileirao_relegation,2025-06-01,Atletico-MG,43
brasileirao_relegation,2025-06-01,Bahia,41
brasileirao_relegation,2025-06-01,Mirassol,58
brasileirao_relegation,2025-06-01,RB Bragantino,1
brasileirao_relegation,2025-06-01,Fluminense,2
brasileirao_relegation,2025-06-01,Botafogo,2
brasileirao_title,2025-06-04,Flamengo,518
brasileirao_title,2025-06-04,Fluminense,48
brasileirao_title,2025-06-04,Palmeiras,122
brasileirao_title,2025-06-04,Botafogo,63
brasileirao_title,2025-06-04,RB Bragantino,59
brasileirao_title,2025-06-04,Cruzeiro,74
brasileirao_title,2025-06-04,Mirassol,3
brasileirao_title,2025-06-04,Gremio,2
brasileirao_title,2025-06-04,Sao Paulo,1
brasileirao_title,2025-06-04,Atletico-MG,1
brasileirao_title,2025-06-04,Bahia,9
brasileirao_relegation,2025-06-04,Fortaleza EC,167
brasileirao_relegation,2025-06-04,Vasco DA Gama,300
brasileirao_relegation,2025-06-04,Santos,512
brasileirao_relegation,2025-06-04,Sport Recife,817
brasileirao_relegation,2025-06-04,Juventude,734
brasileirao_relegation,2025-06-04,Vitoria,298
brasileirao_relegation,2025-06-04,Internacional,132
brasileirao_relegation,2025-06-04,Mirassol,54
brasileirao_relegation,2025-06-04,Atletico-MG,35
brasileirao_relegation,2025-06-04,Gremio,98
brasileirao_relegation,2025-06-04,Sao Paulo,195
brasileirao_relegation,2025-06-04,Ceara,169
brasileirao_relegation,2025-06-04,Corinthians,53
brasileirao_relegation,2025-06-04,Botafogo,1
brasileirao_relegation,2025-06-04,Bahia,34
brasileirao_relegation,2025-06-04,RB Bragantino,1
brasileirao_title,2025-06-12,Fluminense,45
brasileirao_title,2025-06-12,Flamengo,527
brasileirao_title,2025-06-12,Botafogo,69
brasileirao_title,2025-06-12,Cruzeiro,112
brasileirao_title,2025-06-12,Palmeiras,111
brasileirao_title,2025-06-12,RB Bragantino,14
brasileirao_title,2025-06-12,Bahia,15
brasileirao_title,2025-06-12,Sao Paulo,1
brasileirao_title,2025-06-12,Atletico-MG,4
brasileirao_title,2025-06-12,Mirassol,1
brasileirao_title,2025-06-12,Gremio,1
brasileirao_relegation,2025-06-12,Sao Paulo,329
brasileirao_relegation,2025-06-12,Vasco DA Gama,135
brasileirao_relegation,2025-06-12,Vitoria,239
brasileirao_relegation,2025-06-12,Juventude,784
brasileirao_relegation,2025-06-12,Corinthians,66
brasileirao_relegation,2025-06-12,Sport Recife,821
brasileirao_relegation,2025-06-12,Santos,342
brasileirao_relegation,2025-06-12,Ceara,163
brasileirao_relegation,2025-06-12,Internacional,167
brasileirao_relegation,2025-06-12,Gremio,120
brasileirao_relegation,2025-06-12,Fortaleza EC,332
brasileirao_relegation,2025-06-12,Mirassol,74
brasileirao_relegation,2025-06-12,Atletico-MG,14
brasileirao_relegation,2025-06-12,Bahia,5
brasileirao_relegation,2025-06-12,RB Bragantino,8
brasileirao_relegation,2025-06-12,Fluminense,1
brasileirao_title,2025-07-12,Flamengo,505
brasileirao_title,2025-07-12,Botafogo,122
